Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
Site latitude (positive means North);10.000
Site longitude (positive means East);39.000
Site altitude (m);2041
Date beginning;2015-01-01
Date end;2015-12-31
Time reference (decimal hour);UT
Summarization (period of integration);Hour (h)
Date - Instant;The date or instant given for each value corresponds to the end of the summarization
Temperature;Temperature at 2 m above ground in K
Relative humidity;Relative humidity at 2 m above ground in %
Pressure;Pressure at ground level in hPa
Wind speed;Wind speed at 10 m above ground in m/s
Wind direction;Wind direction at 10 m above ground in degrees (0 means from North, 90 from East...)
Rainfall;Rainfall in kg/m2 (Rain depth in cm can be obtained by dividing the values by 10)
Snowfall;Snowfall in kg/m2
Snow depth;Snow depth in m

MERRA 2 meteorological data
Year;Month;Day;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;
2015;1;1;1.0000;283.8521;45.8036;801.7178;1.6513;103.1410;0.0000;0.0000;0.0000;
2015;1;1;2.0000;283.4800;46.0391;801.9934;1.6526;106.1549;0.0000;0.0000;0.0000;
2015;1;1;3.0000;283.1795;45.9069;802.3868;1.6567;110.4961;0.0000;0.0000;0.0000;
2015;1;1;4.0000;282.7911;46.1049;802.8527;1.6776;115.8185;0.0000;0.0000;0.0000;
2015;1;1;5.0000;284.5751;44.0394;803.3913;1.6438;120.1785;0.0000;0.0000;0.0000;
2015;1;1;6.0000;288.5574;30.1300;803.9145;2.3266;111.9630;0.0000;0.0000;0.0000;
2015;1;1;7.0000;292.1969;19.2358;803.9676;3.0592;98.5927;0.0000;0.0000;0.0000;
2015;1;1;8.0000;294.8983;14.0369;803.6080;3.4210;96.7904;0.0000;0.0000;0.0000;
2015;1;1;9.0000;296.9469;11.5144;802.8246;3.6821;97.6965;0.0000;0.0000;0.0000;
2015;1;1;10.0000;298.4017;10.5313;801.7250;3.9004;98.6027;0.0000;0.0000;0.0000;
2015;1;1;11.0000;299.2536;10.1965;800.7210;4.0816;98.5130;0.0000;0.0000;0.0000;
2015;1;1;12.0000;299.5147;10.0579;800.1561;4.2862;97.7832;0.0000;0.0000;0.0000;
2015;1;1;13.0000;299.1188;10.1904;800.1700;4.5997;96.9387;0.0000;0.0000;0.0000;
2015;1;1;14.0000;297.8810;11.0373;800.6574;4.9516;96.4709;0.0000;0.0000;0.0000;
2015;1;1;15.0000;294.5461;17.9845;801.3975;3.9038;97.4056;0.0000;0.0000;0.0000;
2015;1;1;16.0000;289.8319;25.1635;802.2357;3.8234;99.4207;0.0000;0.0000;0.0000;
2015;1;1;17.0000;288.2025;27.5127;803.1384;3.8281;100.5820;0.0000;0.0000;0.0000;
2015;1;1;18.0000;286.9110;29.6775;803.7300;3.5763;100.4947;0.0000;0.0000;0.0000;
2015;1;1;19.0000;286.1483;31.3027;803.7888;3.1118;99.6003;0.0000;0.0000;0.0000;
2015;1;1;20.0000;285.8606;31.3721;803.5398;2.6968;99.4774;0.0000;0.0000;0.0000;
2015;1;1;21.0000;285.5406;31.7985;803.2567;2.3410;101.6749;0.0000;0.0000;0.0000;
2015;1;1;22.0000;285.1070;32.7502;803.0179;2.0716;105.4807;0.0000;0.0000;0.0000;
2015;1;1;23.0000;284.3921;34.5918;802.6661;1.8426;110.5338;0.0000;0.0000;0.0000;
2015;1;1;24.0000;283.8956;35.7434;802.3848;1.7059;115.2965;0.0000;0.0000;0.0000;
2015;1;2;1.0000;283.4964;36.3870;802.3366;1.6471;117.9024;0.0000;0.0000;0.0000;
2015;1;2;2.0000;283.0621;37.0026;802.5145;1.6244;118.8451;0.0000;0.0000;0.0000;
2015;1;2;3.0000;282.6556;37.4283;802.8452;1.6431;119.2855;0.0000;0.0000;0.0000;
2015;1;2;4.0000;282.3265;37.5497;803.2391;1.6927;119.0184;0.0000;0.0000;0.0000;
2015;1;2;5.0000;284.0804;37.5798;803.5079;1.6179;119.0464;0.0000;0.0000;0.0000;
2015;1;2;6.0000;288.2340;24.6011;803.6502;2.0199;113.0788;0.0000;0.0000;0.0000;
2015;1;2;7.0000;292.4249;14.9481;803.4936;2.3801;91.1651;0.0000;0.0000;0.0000;
2015;1;2;8.0000;295.2475;11.3966;803.1392;2.4013;82.4393;0.0000;0.0000;0.0000;
2015;1;2;9.0000;297.1522;10.5456;802.5497;2.2774;79.9954;0.0000;0.0000;0.0000;
2015;1;2;10.0000;298.4992;10.2901;801.6670;2.1258;82.3693;0.0000;0.0000;0.0000;
2015;1;2;11.0000;299.3722;9.8575;800.8204;2.0876;85.3567;0.0000;0.0000;0.0000;
2015;1;2;12.0000;299.7281;9.7413;800.3909;2.1934;87.0895;0.0000;0.0000;0.0000;
2015;1;2;13.0000;299.5354;9.6991;800.4273;2.4409;87.9658;0.0000;0.0000;0.0000;
2015;1;2;14.0000;298.6222;10.1063;800.7559;2.7950;90.0959;0.0000;0.0000;0.0000;
2015;1;2;15.0000;295.5735;18.5744;801.2708;2.3651;97.1956;0.0000;0.0000;0.0000;
2015;1;2;16.0000;291.5910;21.5133;801.9325;2.8786;101.9751;0.0000;0.0000;0.0000;
2015;1;2;17.0000;289.3479;24.7515;802.7013;3.6416;102.3158;0.0000;0.0000;0.0000;
2015;1;2;18.0000;287.6805;27.5985;803.3639;3.7293;103.2872;0.0000;0.0000;0.0000;
2015;1;2;19.0000;286.3134;29.7027;803.5905;3.4607;102.9511;0.0000;0.0000;0.0000;
2015;1;2;20.0000;285.7082;31.3095;803.3315;2.8182;102.5101;0.0000;0.0000;0.0000;
2015;1;2;21.0000;285.4593;31.7775;802.9132;2.3742;102.7933;0.0000;0.0000;0.0000;
2015;1;2;22.0000;285.0668;32.6990;802.4854;2.0889;104.1922;0.0000;0.0000;0.0000;
2015;1;2;23.0000;284.4055;34.2837;802.1047;1.8678;106.7544;0.0000;0.0000;0.0000;
2015;1;2;24.0000;283.8633;35.5601;801.9407;1.7515;110.2767;0.0000;0.0000;0.0000;
2015;1;3;1.0000;283.4948;36.4095;802.0527;1.7426;113.1671;0.0000;0.0000;0.0000;
2015;1;3;2.0000;282.9782;37.6555;802.4004;1.7745;115.7074;0.0000;0.0000;0.0000;
2015;1;3;3.0000;282.4645;38.7945;802.8667;1.8151;117.6825;0.0000;0.0000;0.0000;
2015;1;3;4.0000;282.0066;39.6270;803.3574;1.8936;118.3847;0.0000;0.0000;0.0000;
2015;1;3;5.0000;283.9350;39.0204;803.7950;1.8459;119.1373;0.0000;0.0000;0.0000;
2015;1;3;6.0000;288.1584;25.4361;804.0619;2.2838;117.7977;0.0000;0.0000;0.0000;
2015;1;3;7.0000;292.4293;14.4508;803.8588;2.1452;102.6007;0.0000;0.0000;0.0000;
2015;1;3;8.0000;295.3008;10.7481;803.3659;1.7832;84.4029;0.0000;0.0000;0.0000;
2015;1;3;9.0000;297.1482;9.7540;802.6639;1.5628;72.7290;0.0000;0.0000;0.0000;
2015;1;3;10.0000;298.4138;9.3964;801.7356;1.4082;70.3573;0.0000;0.0000;0.0000;
2015;1;3;11.0000;299.2113;8.7309;800.8720;1.2861;73.9844;0.0000;0.0000;0.0000;
2015;1;3;12.0000;299.4998;8.5063;800.3148;1.1983;79.7555;0.0000;0.0000;0.0000;
2015;1;3;13.0000;299.2290;8.6384;800.2371;1.1787;84.6403;0.0000;0.0000;0.0000;
2015;1;3;14.0000;298.3209;9.2702;800.4353;1.2014;89.5379;0.0000;0.0000;0.0000;
2015;1;3;15.0000;295.5870;17.2882;800.7570;0.8260;107.8184;0.0000;0.0000;0.0000;
2015;1;3;16.0000;292.7526;17.6239;801.1562;1.0702;115.9354;0.0000;0.0000;0.0000;
2015;1;3;17.0000;291.4456;19.9157;801.8473;1.7219;110.4807;0.0000;0.0000;0.0000;
2015;1;3;18.0000;289.5740;24.6469;802.4402;2.6714;106.6066;0.0000;0.0000;0.0000;
2015;1;3;19.0000;287.7690;30.1562;802.6733;2.8504;108.8541;0.0000;0.0000;0.0000;
2015;1;3;20.0000;286.6565;33.7682;802.6198;2.6803;111.1593;0.0000;0.0000;0.0000;
2015;1;3;21.0000;285.9714;35.9358;802.4495;2.3701;114.7705;0.0000;0.0000;0.0000;
2015;1;3;22.0000;285.4697;37.6798;802.2739;2.0265;120.8673;0.0000;0.0000;0.0000;
2015;1;3;23.0000;284.9306;39.4861;802.0688;1.8200;127.8946;0.0000;0.0000;0.0000;
2015;1;3;24.0000;284.3929;41.1942;801.9278;1.7300;133.5283;0.0000;0.0000;0.0000;
2015;1;4;1.0000;283.8874;42.7485;801.9828;1.7187;136.7222;0.0000;0.0000;0.0000;
2015;1;4;2.0000;283.4602;43.9466;802.1843;1.7427;137.3291;0.0000;0.0000;0.0000;
2015;1;4;3.0000;283.1983;44.3753;802.4394;1.7368;136.6059;0.0000;0.0000;0.0000;
2015;1;4;4.0000;283.1141;44.0921;802.7596;1.6848;135.3306;0.0000;0.0000;0.0000;
2015;1;4;5.0000;285.0574;42.5289;803.0541;1.5165;134.1041;0.0000;0.0000;0.0000;
2015;1;4;6.0000;289.0333;28.4811;803.2359;1.6011;136.3884;0.0000;0.0000;0.0000;
2015;1;4;7.0000;292.8209;19.8304;803.0459;0.5072;133.3241;0.0000;0.0000;0.0000;
2015;1;4;8.0000;295.3008;15.9998;802.6004;0.1628;7.7450;0.0000;0.0000;0.0000;
2015;1;4;9.0000;296.9898;13.9334;802.0118;0.4597;336.5104;0.0000;0.0000;0.0000;
2015;1;4;10.0000;298.1159;13.1380;801.1597;0.6839;323.6720;0.0000;0.0000;0.0000;
2015;1;4;11.0000;298.7857;12.4398;800.2917;0.9670;313.5732;0.0000;0.0000;0.0000;
2015;1;4;12.0000;298.9698;12.3916;799.7613;1.2462;309.4293;0.0000;0.0000;0.0000;
2015;1;4;13.0000;298.6980;12.3450;799.6991;1.5168;307.6153;0.0000;0.0000;0.0000;
2015;1;4;14.0000;297.8719;12.0919;799.9511;1.7196;304.1979;0.0000;0.0000;0.0000;
